Test,CPU,DPU,M_C2D,M_D2C,UPMEM,U_C2D,U_D2C
BS,92.736,427.295,117.972,0.188,162.321,109.677,0.707
TS,45.587,218.295,2.969,0.250,79.836,3.727,1.237
TRNS,24.168,1372.888,9689.262,715.941,416.621,7665.695,61.803
RED,1258.688,363.223,321.269,,153.963,625.966,
HST-S,2.729,260.928,95.311,0.283,129.642,81.645,0.304
HST-L,2.846,1078.637,91.141,0.355,436.310,80.014,0.309
SEL,1452.169,526.108,356.699,1814.382,137.821,372.203,4190.872
UNI,1724.318,454.881,387.811,2350.919,95.307,370.533,7393.325
SCAN-SSA,2057.807,755.446,199.954,925.872,286.303,395.730,810.876
SCAN-RSS,30.820,790.481,202.518,915.216,234.224,60.263,147.370
GEMV,260.755,174.761,71.095,0.212,58.093,55.967,0.255
MLP,3594.227,501.057,534.811,1.123,195.584,201.773,0.233
VA,685.523,195.889,287.654,585.437,151.915,261.587,275.529
BFS,910.606,3387.014,191.108,23.469,2939.481,1085.384,86.766
SpMV,6.370,164.851,7.141,0.408,23.214,61.866,5.714
NW,0.123,348.392,74.157,77.548,9.514,19.124,21.837
